Fruit,FruitNum,ImageType,ImageNum,ModelType,Err,M_C1,M_C2,I_C1,I_C2
avocado,9,Cartoon,3,SectorCat,0.949505367,2,0,2,0
orange,10,Top50,1,Ball,1.07406033,-1,-1,-1,-1
orange,10,Top50,1,Sector,0.708538781,-1,1,-1,-1
orange,10,Top50,1,SectorCat,0.489080282,2,0,-1,-1
orange,10,Photo,2,Ball,1.090953584,-1,-1,-1,1
orange,10,Photo,2,Sector,0.783537086,-1,1,-1,1
orange,10,Photo,2,SectorCat,0.556984456,2,0,-1,1
orange,10,Cartoon,3,Ball,1.005455858,-1,-1,2,0
orange,10,Cartoon,3,Sector,0.940283046,-1,1,2,0
orange,10,Cartoon,3,SectorCat,0.644990686,2,0,2,0
lime,11,Top50,1,Ball,1.526278902,-1,-1,-1,-1
lime,11,Top50,1,Sector,1.263315701,-1,1,-1,-1
lime,11,Top50,1,SectorCat,0.68645953,2,0,-1,-1
lime,11,Photo,2,Ball,2.087369752,-1,-1,-1,1
lime,11,Photo,2,Sector,1.793082452,-1,1,-1,1
lime,11,Photo,2,SectorCat,1.269366731,2,0,-1,1
lime,11,Cartoon,3,Ball,1.337878296,-1,-1,2,0
lime,11,Cartoon,3,Sector,1.246387322,-1,1,2,0
lime,11,Cartoon,3,SectorCat,0.674410166,2,0,2,0
lemon,12,Top50,1,Ball,0.624441029,-1,-1,-1,-1
lemon,12,Top50,1,Sector,0.482255082,-1,1,-1,-1
lemon,12,Top50,1,SectorCat,0.382690693,2,0,-1,-1
lemon,12,Photo,2,Ball,0.829814028,-1,-1,-1,1
lemon,12,Photo,2,Sector,0.599700765,-1,1,-1,1
lemon,12,Photo,2,SectorCat,0.518816623,2,0,-1,1
lemon,12,Cartoon,3,Ball,0.681723506,-1,-1,2,0
lemon,12,Cartoon,3,Sector,0.553472749,-1,1,2,0
lemon,12,Cartoon,3,SectorCat,0.383008571,2,0,2,0
