Concept,UW-58 Colors,True Rating,Top50_Ball,Top50_Sector,Top50_Sector+Category,Photo50_Ball,Photo50_Sector,Photo50_Sector+Category,Cartoon50_Ball,Cartoon50_Sector,Cartoon50_Sector+Category,Lin et al
avocado,58,0.11162037,0.211727049,0.274282834,0.253407849,0.213916567,0.278580119,0.25620645,0.19382017,0.277175547,0.261742255,0.001581196
orange,1,0.09712963,0.172048269,0.149903559,0.143157148,0.17249631,0.155483827,0.149347734,0.182054983,0.15783449,0.156532049,0.002486064
orange,2,0.07837963,0.179542258,0.14664939,0.14125762,0.181557138,0.152093494,0.147287304,0.188548203,0.155406392,0.15484342,0.001668847
orange,3,0.080555556,0.176433374,0.149356823,0.143009987,0.178476723,0.157489643,0.150699117,0.189204049,0.159780356,0.157997509,0.00301534
orange,4,0.102731481,0.148793753,0.148516499,0.142452332,0.148922569,0.155796779,0.149488527,0.121011419,0.160149545,0.158188872,0.001299028
orange,5,0.092083333,0.174827324,0.146867537,0.141390232,0.182928707,0.155887575,0.150257212,0.183017797,0.156065408,0.14879198,0.0008302
orange,6,0.100462963,0.176061671,0.150488495,0.143677734,0.181273365,0.162395248,0.15430626,0.183585094,0.158635386,0.150497443,0.000823692
orange,7,0.14,0.1725563,0.15000502,0.143295291,0.173564186,0.158755234,0.151765371,0.185274645,0.158263848,0.150024217,0.00038538
orange,8,0.114259259,0.172919354,0.149123132,0.142780165,0.179267856,0.156978519,0.150807892,0.17500564,0.158203503,0.15013118,0.000918786
orange,9,0.121851852,0.173150845,0.156842612,0.147704607,0.177881994,0.166221868,0.156780193,0.175655366,0.163950639,0.153881417,0.000899751
orange,10,0.151342593,0.17291378,0.217094483,0.188360732,0.175668004,0.215434946,0.193231834,0.174830133,0.26395605,0.221043834,0.000666151
orange,11,0.093101852,0.172888243,0.153123801,0.145339477,0.176144451,0.162572963,0.154004036,0.175494085,0.163563883,0.160054848,0.005243162
orange,12,0.09587963,0.172904652,0.149022837,0.142709235,0.177501761,0.155177153,0.149240845,0.178466621,0.158731022,0.156714917,0.005395621
orange,13,0.090046296,0.172911752,0.156464659,0.147443065,0.176680397,0.1644786,0.155228581,0.178318769,0.164714468,0.160689572,0.001621878
orange,14,0.083472222,0.172912136,0.167560878,0.154473301,0.176613005,0.164668962,0.155769935,0.178170885,0.158069218,0.149859106,0.000992355
orange,15,0.093148148,0.172912136,0.186930962,0.166609147,0.176409877,0.183433348,0.167890942,0.178202179,0.19444966,0.173498093,0.00099856
orange,16,0.133194444,0.172912136,0.158221466,0.150546839,0.175658194,0.151071092,0.151479153,0.174739743,0.16503065,0.156074254,0.000431569
orange,17,0.087546296,0.172912136,0.217029052,0.185903901,0.175887271,0.215039931,0.18791252,0.177710483,0.268338127,0.228844134,0.006080601
orange,18,0.086574074,0.172912136,0.15805006,0.148011405,0.175797303,0.151073512,0.146480485,0.178134727,0.164287386,0.160151122,0.006353614
orange,19,0.094027778,0.172912136,0.158221466,0.148147187,0.175817423,0.151075481,0.146481562,0.178153264,0.165027884,0.160732029,0.001496648
orange,20,0.122824074,0.172912136,0.142462835,0.138586385,0.175552617,0.144135356,0.14192359,0.175034307,0.152059796,0.152043282,0.000998097
orange,21,0.089166667,0.178844174,0.149280362,0.148531438,0.179775467,0.154055598,0.155585556,0.18990644,0.152496215,0.153212976,0.002491325
orange,22,0.117685185,0.155869087,0.148730608,0.142621818,0.154072175,0.152499918,0.147460002,0.130580824,0.15335436,0.15294525,0.002050735
