Concept,BCP-37 colors,True Rating,Sector+Category Prediction
Metal,13,0.12821,0.137993789
Metal,14,0.16929,0.14328224
Metal,15,0.22735,0.156687066
Metal,16,0.18306,0.165786288
Metal,17,0.11173,0.137919218
Metal,18,0.21949,0.190816917
Metal,19,0.1924,0.203614874
Metal,20,0.19449,0.15169239
Metal,21,0.15444,0.1403233
Metal,22,0.27648,0.20604821
Metal,23,0.29571,0.208172012
Metal,24,0.26352,0.146928691
Metal,25,0.20908,0.299829445
Metal,26,0.36485,0.288681371
Metal,27,0.33087,0.297499539
Metal,28,0.32449,0.278190279
Metal,29,0.11245,0.136642365
Metal,30,0.11653,0.179357606
Metal,31,0.13684,0.18008879
Metal,32,0.12036,0.144401882
Metal,33,0.65964,0.235067218
Metal,34,0.9473,0.489675803
Metal,35,0.91128,0.512410729
Metal,36,0.65408,0.477698969
Metal,37,0.42536,0.214473292
Glass,1,0.11704,0.144195321
Glass,2,0.18582,0.158928151
Glass,3,0.21806,0.171182396
Glass,4,0.15286,0.155062922
Glass,5,0.16092,0.151364468
Glass,6,0.28347,0.168010554
Glass,7,0.28434,0.184154111
Glass,8,0.13255,0.181823826
Glass,9,0.19444,0.154914236
Glass,10,0.33439,0.165377182
Glass,11,0.28393,0.175458168
Glass,12,0.14546,0.181797151
Glass,13,0.17908,0.152289959
Glass,14,0.3374,0.162332947
Glass,15,0.27388,0.169441896
Glass,16,0.20832,0.168789401
Glass,17,0.25342,0.146538277
Glass,18,0.48827,0.236613522
Glass,19,0.36122,0.239538421
Glass,20,0.22673,0.157256881
Glass,21,0.58954,0.162482263
Glass,22,0.72653,0.214597409
Glass,23,0.63469,0.219064101
Glass,24,0.39913,0.16445895
Glass,25,0.61923,0.246810664
Glass,26,0.79673,0.240935951
Glass,27,0.69495,0.245200226
Glass,28,0.47577,0.227300072
Glass,29,0.12173,0.149200783
Glass,30,0.30408,0.192043105
Glass,31,0.21148,0.182355532
Glass,32,0.12449,0.160096092
Glass,33,0.095255,0.172547168
Glass,34,0.44714,0.249028144
Glass,35,0.65577,0.349547503
Glass,36,0.7976,0.359749601
Glass,37,0.73745,0.40016874
